Address,Title_link,SaleDate,Thumbnail,SalePrice,Sqft,Street,CityStateZip,Zip,Baths,Beds,Sqft2,LotSize,PriceHistory
"40 Meadowbrook Ln, Newark, DE",https://www.zillow.com/homedetails/40-Meadowbrook-Ln-Newark-DE-19711/73014478_zpid/,06/10/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.747898,-75.740348&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=5-CdaVB3Q3e1PaKYGZdCdHJweTw=","$500,000","4,900",40 Meadowbrook Ln,"Newark, DE 19711",19711,4,4,"4,900",,"6/10/2019Sold$500,000--Chris Black5/17/2019Pending sale$500,000--5/15/2019Listed for sale$500,000--Report issue with price history"
"52 Harris Cir, Newark, DE",https://www.zillow.com/homedetails/52-Harris-Cir-Newark-DE-19711/73009506_zpid/,06/05/2019,https://photos.zillowstatic.com/p_e/ISyv2vdo19idzl0000000000.jpg,"$361,000","2,600",52 Harris Cir,"Newark, DE 19711",19711,2.5,4,"2,600",,"6/5/2019Sold$361,000-2.4%Mia Burch5/4/2019Pending sale$369,900--4/26/2019Listed for sale$369,900+132.7%3/1/1987Sold$158,987--Report issue with price history"
"45 Arizona State Dr, Newark, DE",https://www.zillow.com/homedetails/45-Arizona-State-Dr-Newark-DE-19713/72899993_zpid/,06/03/2019,https://photos.zillowstatic.com/p_e/ISukr3ny5peg340000000000.jpg,"$415,000","3,125",45 Arizona State Dr,"Newark, DE 19713",19713,3,4,"3,125",,"6/3/2019Sold$415,000-1.4%Angela Allen6/3/2019Listing removed$421,000--3/21/2019Listed for sale$421,000--Report issue with price history"
"1008 White Birch Dr, Newark, DE",https://www.zillow.com/homedetails/1008-White-Birch-Dr-Newark-DE-19713/72900173_zpid/,06/03/2019,https://photos.zillowstatic.com/p_e/ISaxbsmr3eol8r1000000000.jpg,"$412,000","2,913",1008 White Birch Dr,"Newark, DE 19713",19713,2,3,"2,913",,"6/3/2019Sold$412,000-1.9%Deanna Murphy4/9/2019Pending sale$420,000--3/23/2019Listed for sale$420,000--Report issue with price history"
"9 Creekside Dr, Newark, DE",https://www.zillow.com/homedetails/9-Creekside-Dr-Newark-DE-19702/73043864_zpid/,05/31/2019,https://photos.zillowstatic.com/p_e/ISir0m0ce7qy1g1000000000.jpg,"$219,900","2,375",9 Creekside Dr,"Newark, DE 19702",19702,2,3,"2,375","6,969","DateEventPrice$/sqftSource5/31/2019Sold$219,900--$93--5/28/2019Listing removed$219,900--$93Keller Williams Real Estate-Ne4/20/2019Pending sale$219,900--$93Keller William Realty4/17/2019Listed for sale$219,9000%$93Keller Williams Real Estate-Ne4/7/2019Price change$220,000+15.8%$93--4/3/2019Listed for sale$190,000-1%$80Owner6/6/2014Sold$192,000-16.5%$81Public Record11/1/2011Listing removed$229,900--$97CENTURY 21 Gold Key Realty7/1/2011Price change$229,900-2%$97Gold Key Realty5/20/2011Price change$234,500-1.3%$99Gold Key Realty3/9/2011Price change$237,500-8.6%$100CENTURY 21 Gold Key Realty5/8/2007Sold$259,900+26.8%$109Public Record12/17/2004Sold$205,000--$86Public RecordReport issue with price history"
"139 Aspen Dr, Newark, DE",https://www.zillow.com/homedetails/139-Aspen-Dr-Newark-DE-19702/73042874_zpid/,05/31/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.644159,-75.690877&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=3U6hytjQ-_l_W5Ww4p7WHBQZJ3s=","$309,000","2,325",139 Aspen Dr,"Newark, DE 19702",19702,3,4,"2,325","9,583","DateEventPrice$/sqftSource6/3/2019Listing removed$315,900+2.2%$136BHHS Fox & Roach Brandywine5/31/2019Sold$309,000-2.2%$133--5/1/2019Pending sale$315,900--$136BHHS Fox & Roach Brandywine2/19/2019Listed for sale$315,900--$136BHHS Fox & Roach Brandywine1/13/2019Listing removed$315,900--$136BHHS Fox & Roach Brandywine7/21/2018Price change$315,900-2.8%$136BHHS Fox & Roach - Brandywine3/18/2018Price change$324,900-1.2%$140BHHS Fox & Roach-Concord2/22/2018Listed for sale$329,000--$142Bhhs Fox & Roach-Concord12/23/2017Listing removed$329,000--$142Bhhs Fox & Roach-Concord10/4/2017Listed for sale$329,000+4.4%$142BHHS Fox & Roach-Concord8/1/2006Sold$315,000--$135Public RecordReport issue with price history"
"131 W Mill Station Dr, Newark, DE",https://www.zillow.com/homedetails/131-W-Mill-Station-Dr-Newark-DE-19711/72935945_zpid/,05/30/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.694874,-75.775807&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=Es2o2DuBl36tGdyxqXS26MqcBCg=","$365,000","2,575",131 W Mill Station Dr,"Newark, DE 19711",19711,3,4,"2,575",,"5/30/2019Sold$365,000--Stephen Cleary4/15/2019Listing removed$365,000--4/11/2019Listed for sale$365,000+125.6%5/1/1988Sold$161,800--Report issue with price history"
"18 Old Stable Ln, Newark, DE",https://www.zillow.com/homedetails/18-Old-Stable-Ln-Newark-DE-19711/73019256_zpid/,05/29/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.730801,-75.711069&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=qepZwh4e7CIwUq-ooadk-e_SUKI=","$325,000","2,750",18 Old Stable Ln,"Newark, DE 19711",19711,2.5,3,"2,750",,"DateEventPrice$/sqftSource5/29/2019Sold$325,000--$118Public Record4/11/2019Listing removed$325,000--$118Premier Realty Inc3/22/2019Price change$325,000-3%$118Premier Realty Inc3/5/2019Price change$335,000-2.9%$122Premier Realty Inc1/30/2019Listed for sale$345,000--$125Premier Realty IncReport issue with price history"
"12 Harkfort Rd, Newark, DE",https://www.zillow.com/homedetails/12-Harkfort-Rd-Newark-DE-19702/72880716_zpid/,05/28/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$215,000","3,444",12 Harkfort Rd,"Newark, DE 19702",19702,2,3,"3,444","6,534","5/28/2019Sold$215,000-2.2%Renee Spruiel4/23/2019Pending sale$219,900--4/13/2019Price change$219,900-1.8%3/27/2019Listed for sale$223,900+9.3%10/9/2012Listing removed$204,900--2/25/2012Listed for sale$204,900--9/19/2011Listing removed$204,900--8/4/2011Listed for sale$204,900-6.4%5/24/2006Sold$219,000+56.4%3/31/2003Sold$140,000--Report issue with price history"
"413 Jaymar Blvd, Newark, DE",https://www.zillow.com/homedetails/413-Jaymar-Blvd-Newark-DE-19702/73044357_zpid/,05/28/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$279,900","2,175",413 Jaymar Blvd,"Newark, DE 19702",19702,3,4,"2,175","7,405","5/15/2019Sold$289,900--Craig Blango, Glendora Sealey4/15/2019Pending sale$289,900--3/16/2019Listed for sale$289,900--Report issue with price history"
