Address,Title_link,SaleDate,Thumbnail,SalePrice,Sqft,Street,CityStateZip,Zip,Baths,Beds,Sqft2,LotSize,PriceHistory
"372 N Barrington Ct, Newark, DE",https://www.zillow.com/homedetails/372-N-Barrington-Ct-Newark-DE-19702/72884741_zpid/,05/31/2019,https://photos.zillowstatic.com/p_e/ISa5qg5c8ngzdj1000000000.jpg,"$225,000","2,108",372 N Barrington Ct,"Newark, DE 19702",19702,3,2,"2,108","3,920","5/31/2019Sold$225,000+0%Renee Spruiel4/24/2019Pending sale$224,900--4/18/2019Listed for sale$224,900+7.1%1/20/2009Sold$210,000--12/9/2008Sold$210,000-6.6%11/21/2008Listing removed$224,900--10/23/2008Listed for sale$224,900+46%5/1/2002Sold$154,000--Report issue with price history"
"229 Barrett Run Pl, Newark, DE",https://www.zillow.com/homedetails/229-Barrett-Run-Pl-Newark-DE-19702/73043029_zpid/,05/31/2019,https://photos.zillowstatic.com/p_e/ISqdr30gd1t7fj1000000000.jpg,"$220,000","2,150",229 Barrett Run Pl,"Newark, DE 19702",19702,3,3,"2,150","3,484","5/31/2019Sold$220,000-2.2%Peter Winnington, Renee Spruiel4/17/2019Pending sale$225,000--4/5/2019Listed for sale$225,000--8/4/2017Listing removed$1,500--7/20/2017Listed for rent$1,500--6/22/2013Listing removed$194,900--6/19/2013Listed for sale$194,900+4.2%5/21/2013Sold$187,000-4.1%Renee Spruiel, Katina Geralis5/2/2013Listing removed$194,900--4/10/2013Price change$194,900-2.5%3/12/2013Listed for sale$199,900-7%8/26/2005Sold$214,900+59.3%Michael and Andrea Haritos7/10/2001Sold$134,900--Report issue with price history"
"204 Marjoram Dr, Bear, DE",https://www.zillow.com/homedetails/204-Marjoram-Dr-Bear-DE-19701/72916769_zpid/,05/31/2019,https://photos.zillowstatic.com/p_e/ISizqn507eqfag0000000000.jpg,"$390,000","3,680",372 N Barrington Ct,"Newark, DE 19702",19702,3,2,"2,108","3,920","5/31/2019Sold$225,000+0%Renee Spruiel4/24/2019Pending sale$224,900--4/18/2019Listed for sale$224,900+7.1%1/20/2009Sold$210,000--12/9/2008Sold$210,000-6.6%11/21/2008Listing removed$224,900--10/23/2008Listed for sale$224,900+46%5/1/2002Sold$154,000--Report issue with price history"
"510 Van Dyke Cir, Newark, DE",https://www.zillow.com/homedetails/510-Van-Dyke-Cir-Newark-DE-19702/113187418_zpid/,05/30/2019,"https://maps.googleapis.com/maps/api/staticmap?center=39.665120,-75.671469&zoom=17&size=600x328&maptype=satellite&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=IYYDf2e00m_09SiLjY_W3k5QETY=","$294,000","2,700",510 Van Dyke Cir,"Newark, DE 19702",19702,4,3,"2,700","3,900","5/30/2019Sold$294,000-0.3%Judy Chen, Angela Allen5/6/2019Listing removed$295,000--4/29/2019Listed for sale$295,000+1.9%12/28/2010Sold$289,580--Report issue with price history"
"53 Alexis Dr, Newark, DE",https://www.zillow.com/homedetails/53-Alexis-Dr-Newark-DE-19702/73039815_zpid/,05/29/2019,https://photos.zillowstatic.com/p_e/IS952qkv8ymyq80000000000.jpg,"$209,000","3,600",53 Alexis Dr,"Newark, DE 19702",19702,3,3,"3,600","2,178","5/29/2019Sold$209,000-0.4%Florence Emerson, Christen McDade5/20/2019Listing removed$209,900--5/2/2019Pending sale$209,900--4/24/2019Listed for sale$209,900+12.2%8/3/2015Sold$187,000--6/30/2015Sold$187,000-3.6%Steve Crifasi Real Estate Group6/9/2015Listing removed$193,900--4/24/2015Price change$193,900-3%3/12/2015Price change$199,900-2.4%2/13/2015Listed for sale$204,900-4.7%5/6/2011Listing removed$215,000--3/29/2011Listed for sale$215,000+0.9%3/22/2011Sold$213,000-0.9%1/28/2011Listing removed$215,000-0.9%6/28/2007Sold$217,000+40.9%6/27/2003Sold$154,000--Report issue with price history"
"117 Syracuse Dr, Newark, DE",https://www.zillow.com/homedetails/117-Syracuse-Dr-Newark-DE-19713/72899917_zpid/,05/24/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.650712,-75.772899&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=jQzT3ulHI-nBj3N7dyFGGFQ9ql4=","$311,920","2,750",117 Syracuse Dr,"Newark, DE 19713",19713,3,4,"2,750","8,712","5/15/2019Sold$389,900--Jeff Bollinger Bollinger3/18/2019Pending sale$389,900--3/15/2019Listed for sale$389,900+12.1%7/14/2004Sold$347,726--Report issue with price history"
"246 E Flagstone Dr, Newark, DE",https://www.zillow.com/homedetails/246-E-Flagstone-Dr-Newark-DE-19702/72879776_zpid/,05/24/2019,https://photos.zillowstatic.com/p_e/IS16dl2rsr2z1yb.jpg,"$335,000","2,350",246 E Flagstone Dr,"Newark, DE 19702",19702,4,5,"2,350",,"5/24/2019Sold$335,000+1.5%Alex Groop3/29/2019Listed for sale$329,900+4.7%9/29/2009Sold$315,000-4.5%8/15/2009Price change$329,900--Report issue with price history"
"121 Felix Dr, Newark, DE",https://www.zillow.com/homedetails/121-Felix-Dr-Newark-DE-19713/245969259_zpid/,video iconVideo Walkthrough,https://photos.zillowstatic.com/p_e/IS6253lr09gfmq1000000000.jpg,"$299,990","2,237",,,,,,,,
"420 Tree Of Heaven Way, Newark, DE",https://www.zillow.com/homedetails/420-Tree-Of-Heaven-Way-Newark-DE-19713/245969729_zpid/,video iconVideo Walkthrough,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$379,990","3,154",420 Tree Of Heaven Way,"Newark, DE 19713",19713,2.5,3,"3,154",,"DateEventPrice$/sqftSource5/21/2019Sold$379,990--$120Public Record5/20/2019Listing removed$379,990--$120Long & Foster - Hockessin3/13/2019Pending sale$379,990--$120Long & Foster - Hockessin2/13/2019Price change$379,990-0.6%$120Ryan Homes1/23/2019Price change$382,460-5.2%$121Long & Foster - Hockessin1/11/2019Listed for sale$403,455--$128L&F - HockessinReport issue with price history"
"506 Schooner Ct, Newark, DE",https://www.zillow.com/homedetails/506-Schooner-Ct-Newark-DE-19702/72895732_zpid/,05/16/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$438,000","2,850",506 Schooner Ct,"Newark, DE 19702",19702,3,4,"2,850",,"5/16/2019Sold$438,000-4.8%Pam Covey4/4/2019Listing removed$459,900--2/17/2019Price change$459,900-1.9%1/2/2019Price change$469,000-2.1%12/4/2018Listed for sale$479,000+28%5/20/2005Sold$374,339-47%2/14/2001Sold$706,132--Report issue with price history"
"17 Blackbird Ct, Newark, DE",https://www.zillow.com/homedetails/17-Blackbird-Ct-Newark-DE-19702/73040632_zpid/,05/16/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$442,000","4,025",17 Blackbird Ct,"Newark, DE 19702",19702,4,4,"4,025",,"5/16/2019Sold$442,000-3.9%5/16/2019Listing removed$459,900--5/15/2019Back on market$459,900--4/8/2019Pending sale$459,900--4/2/2019Price change$459,900-1.1%2/14/2019Price change$464,900-1.1%12/18/2018Price change$469,900-2.1%11/26/2018Listed for sale$479,900-10.3%9/15/2005Sold$535,000+79.3%Gene Millman7/24/2001Sold$298,370--Report issue with price history"
"5 S Fawn Dr, Newark, DE",https://www.zillow.com/homedetails/5-S-Fawn-Dr-Newark-DE-19711/72931970_zpid/,05/15/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$260,000","3,250",,,,,,,,
"196 Harriet Ct, Newark, DE",https://www.zillow.com/homedetails/196-Harriet-Ct-Newark-DE-19711/73030689_zpid/,05/14/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$415,000","2,625",196 Harriet Ct,"Newark, DE 19711",19711,3,4,"2,625",,"4/30/2019Sold$415,000-1.2%Mike Walton3/26/2019Pending sale$419,900--3/20/2019Listed for sale$419,900--Report issue with price history"
"423 Pierce Run, Newark, DE",https://www.zillow.com/homedetails/423-Pierce-Run-Newark-DE-19702/119384095_zpid/,05/13/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$298,000","2,175",423 Pierce Run,"Newark, DE 19702",19702,3,3,"2,175","3,485","5/13/2019Sold$298,000-0.2%Mary Kate Johnston3/19/2019Listing removed$298,500--3/14/2019Listed for sale$298,500+10.5%7/30/2013Sold$270,060+80%4/5/2013Sold$150,000--Report issue with price history"
"110 Mccormick Blvd, Newark, DE",https://www.zillow.com/homedetails/110-Mccormick-Blvd-Newark-DE-19702/72883071_zpid/,05/13/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$355,000","2,900",110 Mccormick Blvd,"Newark, DE 19702",19702,3,4,"2,900","8,712","5/13/2019Sold$355,000+0%Mary Kate Johnston2/25/2019Pending sale$354,900--2/22/2019Listed for sale$354,900-1.4%11/23/2018Listing removed$360,000--11/2/2018Price change$360,000-2.7%10/19/2018Listed for sale$370,000+82.4%5/4/2001Sold$202,900--Report issue with price history"
"116 Marie Ct, Newark, DE",https://www.zillow.com/homedetails/116-Marie-Ct-Newark-DE-19702/178683737_zpid/,05/10/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$422,000","2,797",116 Marie Ct,"Newark, DE 19702",19702,2.5,4,"2,797",,"DateEventPrice$/sqftSource5/10/2019Sold$422,000+3%$151Public Record3/13/2019Listing removed$409,900--$147Home Finders Real Estate Co1/12/2019Price change$409,900-2.2%$147Home Finders Real Estate Co10/17/2018Price change$419,000-0.2%$150Home Finders Real Estate Co9/12/2018Price change$419,900-1.2%$150Home Finders Real Estate Co9/9/2018Price change$424,900-1.3%$152Home Finders Real Estate Co2/25/2018Price change$430,562+2.8%$154Home Finders Real Estate Co2/6/2018Listed for sale$418,894--$150Home Finders Real Estate CoReport issue with price history"
"9 Buttonwood Ct, Newark, DE",https://www.zillow.com/homedetails/9-Buttonwood-Ct-Newark-DE-19702/73041790_zpid/,05/08/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$201,600","2,075",9 Buttonwood Ct,"Newark, DE 19702",19702,3,4,"2,075","8,712","DateEventPrice$/sqftSource5/8/2019Sold$201,600-31.1%$97Public Record5/3/2019Listing removed$292,500-3.1%$141BHHS Fox & Roach Greenville Home Marketing Center4/29/2019Sold$302,000+3.2%$146--4/3/2019Pending sale$292,500--$141BHHS Fox & Roach Greenville Home Marketing Center3/26/2019Listed for sale$292,500--$141BHHS Fox & Roach-GreenvilleReport issue with price history"
