,Address,Zip,Date,Event,Price,Beds,Baths,SqrFt,LotSize
9270,"32 Mccord Dr, Newark, DE",19713,5/25/04,Sold,739500,4,1.5,234,7840
9271,"32 Mccord Dr, Newark, DE",19713,2/9/19,Listed for sale,219900,4,1.5,234,7840
9272,"32 Mccord Dr, Newark, DE",19713,2/12/19,Listing removed,219900,4,1.5,234,7840
9273,"32 Mccord Dr, Newark, DE",19713,3/15/19,Sold,225000,4,1.5,234,7840
9743,"688 Old Baltimore Pike, Newark, DE",19702,3/28/08,Sold,129100,1,1,300,40075
9744,"688 Old Baltimore Pike, Newark, DE",19702,5/1/17,Sold,127500,1,1,300,40075
11033,"205 Country Club Dr, Newark, DE",19711,12/26/17,Listed for sale,250000,4,2.5,525,NA
11034,"205 Country Club Dr, Newark, DE",19711,1/9/18,Listing removed,250000,4,2.5,525,NA
11035,"205 Country Club Dr, Newark, DE",19711,1/30/18,Sold,236000,4,2.5,525,NA
864,"2079 Pleasant Valley Rd, Newark, DE",19702,12/21/08,Listed for sale,150000,3,1,580,95832
865,"2079 Pleasant Valley Rd, Newark, DE",19702,3/16/09,Sold,650000,3,1,580,95832
866,"2079 Pleasant Valley Rd, Newark, DE",19702,10/19/18,Listed for sale,133000,3,1,580,95832
867,"2079 Pleasant Valley Rd, Newark, DE",19702,2/15/19,Pending sale,133000,3,1,580,95832
868,"2079 Pleasant Valley Rd, Newark, DE",19702,3/6/19,Back on market,133000,3,1,580,95832
869,"2079 Pleasant Valley Rd, Newark, DE",19702,3/6/19,Pending sale,133000,3,1,580,95832
870,"2079 Pleasant Valley Rd, Newark, DE",19702,4/1/19,Sold,104500,3,1,580,95832
21508,"17 E Village Rd, Newark, DE",19713,12/3/03,Sold,129000,1,1,650,NA
21509,"17 E Village Rd, Newark, DE",19713,7/24/17,Listed for sale,1.00E+05,1,1,650,NA
21510,"17 E Village Rd, Newark, DE",19713,10/11/17,Sold,109226,1,1,650,NA
21511,"17 E Village Rd, Newark, DE",19713,12/22/17,Sold,1.00E+05,1,1,650,NA
22132,"27 W Village Rd, Newark, DE",19713,7/1/04,Sold,135000,1,1,650,NA
22133,"27 W Village Rd, Newark, DE",19713,10/13/05,Sold,155000,1,1,650,NA
22134,"27 W Village Rd, Newark, DE",19713,4/12/07,Sold,162500,1,1,650,NA
22135,"27 W Village Rd, Newark, DE",19713,2/8/17,Listed for sale,125000,1,1,650,NA
22136,"27 W Village Rd, Newark, DE",19713,3/3/17,Price change,119500,1,1,650,NA
22137,"27 W Village Rd, Newark, DE",19713,5/3/17,Price change,115000,1,1,650,NA
22138,"27 W Village Rd, Newark, DE",19713,7/13/17,Price change,112500,1,1,650,NA
22139,"27 W Village Rd, Newark, DE",19713,8/10/17,Pending sale,112500,1,1,650,NA
22140,"27 W Village Rd, Newark, DE",19713,8/10/17,Price change,110000,1,1,650,NA
22141,"27 W Village Rd, Newark, DE",19713,10/16/17,Listing removed,110000,1,1,650,NA
22142,"27 W Village Rd, Newark, DE",19713,12/23/18,Listed for sale,115900,1,1,650,NA
22143,"27 W Village Rd, Newark, DE",19713,5/9/19,Listing removed,115900,1,1,650,NA
22144,"27 W Village Rd, Newark, DE",19713,5/15/19,Sold,110000,1,1,650,NA
22255,"32 W Village Rd, Newark, DE",19713,6/18/02,Sold,110000,1,1,650,NA
22256,"32 W Village Rd, Newark, DE",19713,7/3/08,Listed for sale,129000,1,1,650,NA
22257,"32 W Village Rd, Newark, DE",19713,10/8/08,Price change,115000,1,1,650,NA
22258,"32 W Village Rd, Newark, DE",19713,2/1/09,Listing removed,115000,1,1,650,NA
22259,"32 W Village Rd, Newark, DE",19713,3/3/09,Sold,115000,1,1,650,NA
22260,"32 W Village Rd, Newark, DE",19713,9/14/17,Listed for sale,125000,1,1,650,NA
22261,"32 W Village Rd, Newark, DE",19713,10/2/17,Back on market,125000,1,1,650,NA
