"","X.1","X","Address","Zip","Date","Event","Price","Beds","Baths","SqrFt","LotSize","Time","DaysOnMarket","RollTimeAv"
"1",1278,12250,"8 Mercer Dr, Newark, DE",19713,2008-02-08,"Listed for sale",204900,3,1,1125,6969,88,54,104
"2",7543,15147,"9 Timber Creek Ln, Newark, DE",19711,2008-02-26,"Listed for sale",286000,3,1.5,1625,10018,106,178,91.2
"3",9816,12816,"12 Andries Rd, Newark, DE",19711,2008-02-29,"Listed for sale",259900,4,2.5,1775,6969,109,91,95.9333333333333
"4",9769,22510,"441 Preakness Run, Newark, DE",19702,2008-03-06,"Listed for sale",374894,4,2.5,1768,10019,115,84,101.333333333333
"5",6640,20418,"5 Hibiscus Dr, Newark, DE",19702,2008-03-09,"Listed for sale",204900,3,3,1550,2178,118,57,90.0666666666667
"6",11189,20477,"515 Canary Dr, Newark, DE",19702,2008-03-09,"Listed for sale",197000,3,2.5,1850,3920,118,22,90.5333333333333
"7",10918,22793,"7 Charles Ct, Newark, DE",19702,2008-03-12,"Listed for sale",209900,3,2.5,1825,2178,121,176,97.2
"8",5161,8807,"21 Chaucer Dr, Newark, DE",19713,2008-03-13,"Listed for sale",194999,4,2,1450,7405,122,141,97.6
"9",4391,20137,"322 Goldsmith Ln, Newark, DE",19702,2008-03-15,"Listed for sale",215000,3,3,1375,1742,124,201,108.266666666667
"10",8667,16506,"24 Julie Ln, Newark, DE",19711,2008-03-28,"Listed for sale",239900,4,3,1675,7150,137,26,100.466666666667
"11",1103,9015,"24 Madison Dr, Newark, DE",19711,2008-04-02,"Listed for sale",145000,3,1,1125,3049,142,92,100.8
"12",4447,8494,"148 Madison Dr, Newark, DE",19711,2008-04-12,"Listed for sale",149500,4,2,1400,1742,152,62,100.933333333333
"13",14540,285,"1105 Old Coochs Bridge Rd, Newark, DE",19713,2008-04-23,"Listed for sale",229900,4,2,2542,8712,163,224,106.533333333333
"14",635,11266,"25 Springlake Dr, Newark, DE",19711,2008-04-23,"Listed for sale",217900,3,1.5,1040,10454,163,82,102.866666666667
"15",14150,2303,"92 W Park Pl, Newark, DE",19711,2008-04-23,"Listed for sale",349900,4,2.5,2350,8712,163,40,102
"16",10359,19174,"144 Hawk Dr, Newark, DE",19702,2008-04-29,"Listed for sale",174900,3,1.5,1800,2178,169,182,110.533333333333
"17",2653,21725,"205 Cannons Way, Newark, DE",19713,2008-05-01,"Listed for sale",234900,3,3.5,1250,2613,171,50,102
"18",14111,6702,"32 Palo Ln, Newark, DE",19702,2008-05-17,"Listed for sale",334900,3,2.5,2340,7841,187,254,112.866666666667
"19",9937,17043,"330 Chickory Way, Newark, DE",19711,2008-05-27,"Listed for sale",254000,4,2.5,1775,3049,197,65,111.6
"20",12322,367,"12 Anita Dr, Newark, DE",19713,2008-05-29,"Listed for sale",264500,4,1.5,2000,7840,199,180,119.8
"21",13391,1236,"3 Woodsman Dr, Newark, DE",19711,2008-05-29,"Listed for sale",289900,4,3,2175,10018,199,88,124.2
"22",9771,22512,"441 Preakness Run, Newark, DE",19702,2008-05-29,"Sold",338000,4,2.5,1768,10019,199,84,58.4
