"","X","Address","Zip","Date","Event","Price","Beds","Baths","SqrFt","LotSize"
"1",9270,"32 Mccord Dr, Newark, DE",19713,"5/25/04","Sold",739500,4,1.5,"234",7840
"2",9271,"32 Mccord Dr, Newark, DE",19713,"2/9/19","Listed for sale",219900,4,1.5,"234",7840
"3",9272,"32 Mccord Dr, Newark, DE",19713,"2/12/19","Listing removed",219900,4,1.5,"234",7840
"4",9273,"32 Mccord Dr, Newark, DE",19713,"3/15/19","Sold",225000,4,1.5,"234",7840
"5",9743,"688 Old Baltimore Pike, Newark, DE",19702,"3/28/08","Sold",129100,1,1,"300",40075
"6",9744,"688 Old Baltimore Pike, Newark, DE",19702,"5/1/17","Sold",127500,1,1,"300",40075
"7",864,"2079 Pleasant Valley Rd, Newark, DE",19702,"12/21/08","Listed for sale",150000,3,1,"580",95832
"8",865,"2079 Pleasant Valley Rd, Newark, DE",19702,"3/16/09","Sold",650000,3,1,"580",95832
"9",866,"2079 Pleasant Valley Rd, Newark, DE",19702,"10/19/18","Listed for sale",133000,3,1,"580",95832
"10",867,"2079 Pleasant Valley Rd, Newark, DE",19702,"2/15/19","Pending sale",133000,3,1,"580",95832
"11",868,"2079 Pleasant Valley Rd, Newark, DE",19702,"3/6/19","Back on market",133000,3,1,"580",95832
"12",869,"2079 Pleasant Valley Rd, Newark, DE",19702,"3/6/19","Pending sale",133000,3,1,"580",95832
"13",870,"2079 Pleasant Valley Rd, Newark, DE",19702,"4/1/19","Sold",104500,3,1,"580",95832
"14",13440,"20 Glyn Dr, Newark, DE",19713,"1/8/19","Listed for sale",230000,3,2,"700",7840
"15",13441,"20 Glyn Dr, Newark, DE",19713,"1/19/19","Pending sale",230000,3,2,"700",7840
"16",13442,"20 Glyn Dr, Newark, DE",19713,"2/28/19","Sold",230000,3,2,"700",7840
"17",8871,"218 W Park Pl, Newark, DE",19711,"6/3/02","Sold",121500,3,1,"725",7405
"18",8872,"218 W Park Pl, Newark, DE",19711,"5/23/05","Sold",165000,3,1,"725",7405
"19",8873,"218 W Park Pl, Newark, DE",19711,"11/3/05","Sold",2e+05,3,1,"725",7405
"20",8874,"218 W Park Pl, Newark, DE",19711,"8/4/17","Listed for sale",179900,3,1,"725",7405
"21",8875,"218 W Park Pl, Newark, DE",19711,"8/18/17","Pending sale",179900,3,1,"725",7405
"22",8876,"218 W Park Pl, Newark, DE",19711,"9/27/17","Sold",170000,3,1,"725",7405
"23",8877,"218 W Park Pl, Newark, DE",19711,"10/13/17","Listing removed",135000,3,1,"725",7405
"24",8878,"218 W Park Pl, Newark, DE",19711,"11/12/18","Listing removed",150000,3,1,"725",7405
"25",11534,"39 Chambers St, Newark, DE",19711,"11/5/18","Listed for sale",239000,2,1.5,"725",4791
"26",11535,"39 Chambers St, Newark, DE",19711,"11/6/18","Listing removed",239000,2,1.5,"725",4791
"27",11536,"39 Chambers St, Newark, DE",19711,"11/27/18","Sold",301000,2,1.5,"725",4791
"28",15333,"10 Burns Way, Newark, DE",19702,"3/30/04","Sold",108000,2,1,"775",6969
"29",15334,"10 Burns Way, Newark, DE",19702,"4/23/11","Price change",129985,2,1,"775",6969
"30",15335,"10 Burns Way, Newark, DE",19702,"6/14/11","Price change",124985,2,1,"775",6969
"31",15336,"10 Burns Way, Newark, DE",19702,"9/9/11","Listing removed",124985,2,1,"775",6969
"32",15337,"10 Burns Way, Newark, DE",19702,"10/25/16","Listed for sale",115000,2,1,"775",6969
"33",15338,"10 Burns Way, Newark, DE",19702,"3/3/17","Price change",112900,2,1,"775",6969
"34",15339,"10 Burns Way, Newark, DE",19702,"3/29/17","Pending sale",112900,2,1,"775",6969
"35",15340,"10 Burns Way, Newark, DE",19702,"5/10/17","Sold",109000,2,1,"775",6969
"36",15523,"11 Strauss Way, Newark, DE",19702,"12/20/11","Listed for sale",649000,2,1,"775",7840
"37",15524,"11 Strauss Way, Newark, DE",19702,"12/20/11","Sold",793170,2,1,"775",7840
"38",15525,"11 Strauss Way, Newark, DE",19702,"1/7/12","Price change",639000,2,1,"775",7840
"39",15526,"11 Strauss Way, Newark, DE",19702,"1/28/12","Price change",609000,2,1,"775",7840
"40",15527,"11 Strauss Way, Newark, DE",19702,"4/4/12","Price change",549000,2,1,"775",7840
"41",15528,"11 Strauss Way, Newark, DE",19702,"5/10/12","Listing removed",549000,2,1,"775",7840
"42",15530,"11 Strauss Way, Newark, DE",19702,"12/1/12","Price change",545000,2,1,"775",7840
"43",15531,"11 Strauss Way, Newark, DE",19702,"3/1/13","Listing removed",545000,2,1,"775",7840
"44",15532,"11 Strauss Way, Newark, DE",19702,"3/6/13","Sold",525000,2,1,"775",7840
"45",15533,"11 Strauss Way, Newark, DE",19702,"9/5/18","Listed for sale",155000,2,1,"775",7840
"46",15534,"11 Strauss Way, Newark, DE",19702,"9/21/18","Pending sale",155000,2,1,"775",7840
"47",15535,"11 Strauss Way, Newark, DE",19702,"10/30/18","Sold",155000,2,1,"775",7840
"48",16248,"2 Wright Cir, Newark, DE",19702,"9/4/07","Sold",155000,2,1,"775",7405
"49",16249,"2 Wright Cir, Newark, DE",19702,"9/12/17","Sold",793250,2,1,"775",7405
"50",16250,"2 Wright Cir, Newark, DE",19702,"10/6/17","Listed for sale",139900,2,1,"775",7405
"51",16251,"2 Wright Cir, Newark, DE",19702,"11/15/17","Price change",134900,2,1,"775",7405
"52",16252,"2 Wright Cir, Newark, DE",19702,"11/17/17","Price change",139900,2,1,"775",7405
