Address,Title_link,SaleDate,Thumbnail,SalePrice,Sqft,Street,CityStateZip,Zip,Baths,Beds,Sqft2,LotSize,PriceHistory
"213 Kingsley Dr, Newark, DE",https://www.zillow.com/homedetails/213-Kingsley-Dr-Newark-DE-19711/73035079_zpid/,05/31/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.693643,-75.684591&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=K4griv7FH8OWP7sF_it8yeoGYnM=","$216,000","1,750",213 Kingsley Dr,"Newark, DE 19711",19711,1,3,"1,750","9,147","5/31/2019Sold$216,000+2.9%Marcus DuPhily4/8/2019Listing removed$209,999--4/3/2019Listed for sale$209,999+26.7%9/22/2010Sold$165,700--Daniel DuncanReport issue with price history"
"6 Windflower Dr, Newark, DE",https://www.zillow.com/homedetails/6-Windflower-Dr-Newark-DE-19711/73031513_zpid/,05/29/2019,https://photos.zillowstatic.com/p_e/ISmu1chyrpr7de1000000000.jpg,"$245,900","1,675",6 Windflower Dr,"Newark, DE 19711",19711,2,3,"1,675","9,583","5/29/2019Sold$245,900-1.2%The Lehane Team4/16/2019Pending sale$248,900--4/9/2019Listed for sale$248,900+3.7%2/26/2008Sold$240,000-4%12/1/2007Listed for sale$249,900--Report issue with price history"
"3 Phelps Ln, Newark, DE",https://www.zillow.com/homedetails/3-Phelps-Ln-Newark-DE-19711/72934232_zpid/,05/28/2019,https://photos.zillowstatic.com/p_e/ISifvh8rn24pvj0000000000.jpg,"$269,900","1,450",3 Phelps Ln,"Newark, DE 19711",19711,2,4,"1,450","6,534","DateEventPrice$/sqftSource5/28/2019Sold$269,900--$186Public Record5/7/2019Pending sale$269,900--$186RE/MAX Associates4/30/2019Price change$269,9000%$186RE/MAX Associates-Wilmington4/2/2019Pending sale$270,000--$186RE/MAX Associates3/23/2019Listed for sale$270,000+1.9%$186RE/MAX Associates-Wilmington5/4/2018Listing removed$265,000--$183Concord Realty Group4/25/2018Listed for sale$265,000+6%$183Concord Realty Group8/15/2008Sold$250,000-9.1%$172Public Record8/8/2008Listing removed$275,000--$190Coldwell Banker**6/19/2008Listed for sale$275,000--$190Coldwell Banker**Report issue with price history"
"309 Rosewood Dr, Newark, DE",https://www.zillow.com/homedetails/309-Rosewood-Dr-Newark-DE-19713/73037491_zpid/,05/24/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.680570,-75.684356&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=qs1397JnsDBV86mPigZ-RHZkc5Q=","$197,500","1,450",309 Rosewood Dr,"Newark, DE 19713",19713,1,3,"1,450","10,454","5/10/2019Sold$197,500--Gary Williams3/25/2019Listing removed$197,500--3/25/2019Price change$197,500+2.4%3/13/2019Price change$192,900-1%10/22/2018Listed for sale$194,900--Report issue with price history"
"14 Malvina Ln, Newark, DE",https://www.zillow.com/homedetails/14-Malvina-Ln-Newark-DE-19713/73036775_zpid/,05/23/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.679547,-75.706579&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=SvtcNsVNWQXIQI16QgWmRaLRkcI=","$125,000","1,500",14 Malvina Ln,"Newark, DE 19713",19713,1.5,3,"1,500","10,454","DateEventPrice$/sqftSource5/23/2019Sold$125,000-13.7%$83Public Record8/16/2004Sold$144,900--$97Public RecordReport issue with price history"
"27 Mavista Cir, Newark, DE",https://www.zillow.com/homedetails/27-Mavista-Cir-Newark-DE-19713/72888059_zpid/,05/22/2019,https://photos.zillowstatic.com/p_e/IS2ny4pbj2w1zv0000000000.jpg,"$147,500","1,496",27 Mavista Cir,"Newark, DE 19713",19713,1,3,"1,496","9,147","5/22/2019Sold$147,500-0.3%3/29/2019Listing removed$148,000--2/11/2019Price change$148,000--7/13/2018Listing removed$148,000+23.3%2/15/2018Sold$120,000-38.5%12/5/2017Listed for sale----5/2/2014Sold$195,000--Tamika Moulden, Team Webster3/18/2014Listing removed$195,000--11/6/2013Price change$195,000-2.5%9/12/2013Listed for sale$200,000-4.7%6/1/2006Sold$209,900+107.4%1/20/2006Sold$101,187--Report issue with price history"
"226 Elderfield Rd, Newark, DE",https://www.zillow.com/homedetails/226-Elderfield-Rd-Newark-DE-19713/73036949_zpid/,05/20/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.675667,-75.717709&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=qCx-UxsRLxDL1HIZe_eFPSdheaE=","$209,900","1,325",226 Elderfield Rd,"Newark, DE 19713",19713,1.5,4,"1,325","9,583","DateEventPrice$/sqftSource5/20/2019Sold$209,900--$158Public Record4/19/2019Listing removed$209,900--$158Simple Choice Realty, Inc.4/3/2019Price change$209,900+2.4%$158Simple Choice Realty, Inc.3/11/2019Listed for sale$205,000--$155Simple Choice Realty, Inc.Report issue with price history"
"1126 Greentree Rd, Newark, DE",https://www.zillow.com/homedetails/1126-Greentree-Rd-Newark-DE-19713/73037595_zpid/,05/20/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.676925,-75.682652&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=widogwP1C9MVcgTnKJeuYtq0phk=","$115,000","1,575",1126 Greentree Rd,"Newark, DE 19713",19713,1.5,4,"1,575","9,147","DateEventPrice$/sqftSource5/20/2019Sold$115,000--$73Public RecordReport issue with price history"
"312 N Dillwyn Rd, Newark, DE",https://www.zillow.com/homedetails/312-N-Dillwyn-Rd-Newark-DE-19711/73034822_zpid/,05/17/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$250,000","1,475",312 N Dillwyn Rd,"Newark, DE 19711",19711,2,3,"1,475","6,534","5/17/2019Sold$250,000+0%Delcollo Salvatore4/3/2019Listing removed$249,900--3/26/2019Price change$249,900+2%10/25/2018Price change$245,000-2%10/1/2018Price change$249,900-2%9/11/2018Listed for sale$254,900+92.4%6/4/1998Sold$132,500--Report issue with price history"
"331 N Dillwyn Rd, Newark, DE",https://www.zillow.com/homedetails/331-N-Dillwyn-Rd-Newark-DE-19711/73034926_zpid/,05/17/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$250,000","1,475",331 N Dillwyn Rd,"Newark, DE 19711",19711,1.5,3,"1,475","6,970","5/15/2019Sold$250,000--Delcollo Salvatore3/29/2019Listing removed$250,000--3/27/2019Price change$250,000+2.1%3/26/2019Listed for sale$244,900--12/2/2016Listing removed$1,450--7/20/2015Listing removed$244,500--6/26/2015Price change$244,500-2%6/5/2015Listed for sale$249,500+95.8%10/30/2007Sold$127,450-15%9/26/2001Sold$149,900--Report issue with price history"
"815 Old Harmony Rd, Newark, DE",https://www.zillow.com/homedetails/815-Old-Harmony-Rd-Newark-DE-19711/73035188_zpid/,05/15/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$249,900","1,850",815 Old Harmony Rd,"Newark, DE 19711",19711,2,4,"1,850","9,147","5/13/2019Sold$249,900--Ross Weiner, Debbie Gawel3/18/2019Pending sale$249,900--2/17/2019Listed for sale$249,900+54.3%1/3/2005Sold$162,000--Report issue with price history"
"15 Plymouth Dr, Newark, DE",https://www.zillow.com/homedetails/15-Plymouth-Dr-Newark-DE-19713/72934821_zpid/,05/13/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$235,000","1,575",15 Plymouth Dr,"Newark, DE 19713",19713,2,3,"1,575","9,583","5/13/2019Sold$235,000--3/27/2019Sold$235,000-2%Stephen Mervine3/17/2019Pending sale$239,900--3/1/2019Price change$239,900-2%1/30/2019Price change$244,900-2%12/5/2018Listed for sale$249,900+89.9%7/20/2018Sold$131,600+12.5%Stephen Mervine7/5/2018Listing removed$117,000--6/28/2018Listed for sale$117,000--Report issue with price history"
"161 Madison Dr, Newark, DE",https://www.zillow.com/homedetails/161-Madison-Dr-Newark-DE-19711/72932431_zpid/,05/06/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$110,000","1,125",161 Madison Dr,"Newark, DE 19711",19711,2,3,"1,125","1,742","DateEventPrice$/sqftSource5/6/2019Sold$110,000-11.3%$98Public Record5/3/2019Listing removed$124,000--$110BHHS Fox & Roach Newark4/3/2019Pending sale$124,000--$110BHHS Fox & Roach Newark1/25/2019Price change$124,000-3%$110BHHS Fox & Roach Newark12/18/2018Price change$127,900-3.8%$114BHHS Fox & Roach Newark12/4/2018Listed for sale$132,900-5.1%$118BHHS Fox & Roach-Newark8/2/2006Sold$140,000+16.7%$124Public Record8/5/2004Sold$120,000--$107Public RecordReport issue with price history"
"30 Malvina Ln, Newark, DE",https://www.zillow.com/homedetails/30-Malvina-Ln-Newark-DE-19713/73037127_zpid/,04/30/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$234,900","1,475",30 Malvina Ln,"Newark, DE 19713",19713,1.5,4,"1,475","8,712","4/30/2019Sold$234,900--Laura Diaz Desi Rivera, Kathy Melcher3/20/2019Listed for sale$234,900+23489900%11/30/2018Sold$1--Kathy MelcherReport issue with price history"
"20 Greenridge Rd, Newark, DE",https://www.zillow.com/homedetails/20-Greenridge-Rd-Newark-DE-19711/73034372_zpid/,04/24/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$205,000","1,963",20 Greenridge Rd,"Newark, DE 19711",19711,2,3,"1,963","7,840","3/29/2019Sold$205,000+2.6%Dawn Wilson3/6/2019Pending sale$199,900--3/6/2019Back on market$199,900--2/22/2019Pending sale$199,900--1/6/2019Listed for sale$199,900--8/30/2013Listing removed$199,900--7/30/2013Listed for sale$199,900+0.5%11/8/2012Listing removed$198,900--10/25/2012Price change$198,900-0.5%9/25/2012Price change$199,900-2%9/18/2012Price change$204,000-0.5%8/22/2012Listed for sale$205,000--Report issue with price history"
"37 Madison Dr, Newark, DE",https://www.zillow.com/homedetails/37-Madison-Dr-Newark-DE-19711/72932748_zpid/,04/23/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$103,000","1,125",37 Madison Dr,"Newark, DE 19711",19711,1,3,"1,125","4,356","4/23/2019Sold$103,000--3/1/2019Listing removed$1,100--2/24/2019Price change$1,100-8.3%2/11/2019Listed for rent$1,200+9.1%11/18/2015Listing removed$1,100--10/19/2015Listed for rent$1,100--4/30/2014Sold$171,000+101.2%Cathy Williams4/28/2014Listing removed$85,000--4/14/2014Listed for sale$85,000--Report issue with price history"
