Address,Title_link,SaleDate,Thumbnail,SalePrice,Sqft,Street,CityStateZip,Zip,Baths,Beds,Sqft2,LotSize,PriceHistory
"136 Couples Dr, Newark, DE",https://www.zillow.com/homedetails/136-Couples-Dr-Newark-DE-19702/72881109_zpid/,06/10/2019,"https://maps.googleapis.com/maps/api/staticmap?center=39.623173,-75.748298&zoom=17&size=600x328&maptype=satellite&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=k7lxiSfizNj0CGcg50I0J-XWkFw=","$223,000","1,800",136 Couples Dr,"Newark, DE 19702",19702,3,3,"1,800","2,178","6/10/2019Sold$223,000-3.8%Megan Aitken5/10/2019Listing removed$231,900--4/30/2019Price change$231,900-1.3%4/15/2019Listed for sale$234,900+34.2%2/28/2013Sold$175,000-2.8%12/18/2012Listing removed$180,000--11/8/2012Listed for sale$180,000+168.7%6/4/2002Sold$67,000-52.1%6/4/2001Sold$139,950--Report issue with price history"
"143 Cypress Dr, Newark, DE",https://www.zillow.com/homedetails/143-Cypress-Dr-Newark-DE-19713/73039099_zpid/,05/31/2019,https://photos.zillowstatic.com/p_e/ISecevjco4wau11000000000.jpg,"$189,900","1,400",143 Cypress Dr,"Newark, DE 19713",19713,2,2,"1,400","2,178","5/31/2019Sold$189,900--Richard Zernell4/25/2019Pending sale$189,900--4/12/2019Price change$189,900-2.6%3/19/2019Price change$195,000-2.5%3/4/2019Listed for sale$199,900+17.6%2/27/2015Sold$170,000-4.2%1/2/2015Listing removed$177,500--10/30/2014Price change$177,500+45.9%2/11/2000Sold$121,640--Report issue with price history"
"26 Printz Dr, Bear, DE",https://www.zillow.com/homedetails/26-Printz-Dr-Bear-DE-19701/72918061_zpid/,days ago,https://photos.zillowstatic.com/p_e/IS2r9wg1lw88i91000000000.jpg,"$185,000","1,150",,,,,,,,
"5 Paynter St, Bear, DE",https://www.zillow.com/homedetails/5-Paynter-St-Bear-DE-19701/72918236_zpid/,05/24/2019,https://photos.zillowstatic.com/p_e/ISy7k07kidrzom1000000000.jpg,"$209,000","1,750",5 Paynter St,"Bear, DE 19701",19701,1.5,3,"1,750","2,178","5/24/2019Sold$209,000+0.5%4/4/2019Listing removed$208,000--3/21/2019Price change$208,000-0.9%1/30/2019Price change$209,900+2.4%12/31/2018Price change$205,000-4.7%12/4/2018Price change$215,000-1.8%11/19/2018Price change$219,000-2.7%10/10/2018Listed for sale$225,000--1/12/2017Listing removed$1,450+3.6%5/19/2014Listing removed$1,400--2/28/2013Listing removed$1,400--10/6/2011Listing removed$1,400--2/1/2006Sold$209,900--Kimberlyn AllenReport issue with price history"
"114 W Flagstone Dr, Newark, DE",https://www.zillow.com/homedetails/114-W-Flagstone-Dr-Newark-DE-19702/72879732_zpid/,05/23/2019,https://photos.zillowstatic.com/p_e/ISif34fd52mrxw1000000000.jpg,"$320,000","1,975",114 W Flagstone Dr,"Newark, DE 19702",19702,3,4,"1,975","8,276","5/15/2019Sold$320,000-1.5%Delcollo Salvatore, Riggin Group Real Estate4/1/2019Pending sale$324,900--3/27/2019Listed for sale$324,900+6.2%11/29/2005Sold$306,000+66.3%2/15/2002Sold$184,020--Report issue with price history"
"124 Abelia Dr, Newark, DE",https://www.zillow.com/homedetails/124-Abelia-Dr-Newark-DE-19702/72886358_zpid/,05/22/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.599863,-75.765495&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=zMw39T_IhAoPhNgSUctgs12m674=","$224,900","1,850",124 Abelia Dr,"Newark, DE 19702",19702,3,2,"1,850","3,920","DateEventPrice$/sqftSource5/22/2019Sold$224,900--$122Public Record5/17/2019Listing removed$224,900--$122BHHS Fox & Roach Greenville Home Marketing Center4/25/2019Pending sale$224,900--$122BHHS Fox & Roach Greenville Home Marketing Center4/11/2019Listed for sale$224,900+5.6%$122BHHS Fox & Roach-Greenville7/6/2005Sold$213,000+52.1%$115Public Record9/20/2002Sold$140,000--$76Public RecordReport issue with price history"
"20 Blue Ridge Pl, Newark, DE",https://www.zillow.com/homedetails/20-Blue-Ridge-Pl-Newark-DE-19702/73043063_zpid/,05/21/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.644094,-75.680976&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=qWFUr3neXfiAT617dXvhxd5mreE=","$159,200","1,700",20 Blue Ridge Pl,"Newark, DE 19702",19702,2.5,2,"1,700","1,742","DateEventPrice$/sqftSource5/21/2019Sold$159,200-20.4%$94Public Record3/15/2019Listing removed$199,900--$118Patterson-Schwartz Real Estate3/6/2019Listed for sale$199,900+17.6%$118Patterson-Schwartz Real Estate11/8/2004Sold$170,000--$100Public RecordReport issue with price history"
"69 Highland Cir, Newark, DE",https://www.zillow.com/homedetails/69-Highland-Cir-Newark-DE-19713/72900109_zpid/,05/20/2019,https://photos.zillowstatic.com/p_e/ISecqcd82yezao0000000000.jpg,"$228,500","1,660",69 Highland Cir,"Newark, DE 19713",19713,2.5,3,"1,660","3,049","DateEventPrice$/sqftSource5/20/2019Sold$228,500--$138Public Record5/17/2019Listed for rent$2,100/mo--$1Zillow Rental Manager4/19/2019Listing removed$240,000--$145EXP Realty3/29/2019Listed for sale$240,000+23.1%$145EXP Realty7/29/2014Listing removed$195,000--$117Patterson-Schwartz Real Estate7/8/2014Listed for sale$195,000+46.6%$117Patterson-Schwartz Real Estate9/13/2001Sold$133,000--$80Public RecordReport issue with price history"
"35 Chambord Dr, Newark, DE",https://www.zillow.com/homedetails/35-Chambord-Dr-Newark-DE-19702/72885602_zpid/,05/17/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$152,800","1,325",35 Chambord Dr,"Newark, DE 19702",19702,2,3,"1,325","2,178","5/15/2019Sold$191,000+0.6%Maria Olivera, Elan Martin3/7/2019Pending sale$189,900--3/2/2019Listed for sale$189,900+24.1%12/15/2014Sold$153,000-4.4%Karen Burke11/3/2014Listing removed$160,000--9/23/2014Price change$160,000-2.4%8/16/2014Listed for sale$164,000+17.1%12/30/2003Sold$140,000--Report issue with price history"
"36 Woodcrest Ct, Newark, DE",https://www.zillow.com/homedetails/36-Woodcrest-Ct-Newark-DE-19702/73042314_zpid/,05/17/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$212,500","1,450",36 Woodcrest Ct,"Newark, DE 19702",19702,3,3,"1,450","2,178","5/17/2019Sold$212,500-3.4%Gary Williams4/10/2019Listing removed$219,900--3/26/2019Price change$219,900-1.3%3/15/2019Listed for sale$222,9000%5/10/2006Sold$223,000+47.8%4/8/2003Sold$150,900--Report issue with price history"
"27 W Village Rd, Newark, DE",https://www.zillow.com/homedetails/27-W-Village-Rd-Newark-DE-19713/72933251_zpid/,05/15/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$110,000",650,27 W Village Rd,"Newark, DE 19713",19713,1,1,650,,"5/15/2019Sold$110,000-5.1%Gina McCollum-Crowder5/9/2019Listing removed$115,900--12/23/2018Listed for sale$115,900+5.4%10/16/2017Listing removed$110,000--8/10/2017Price change$110,000-2.2%8/10/2017Pending sale$112,500--7/13/2017Price change$112,500-2.2%5/3/2017Price change$115,000-3.8%3/3/2017Price change$119,500-4.4%2/8/2017Listed for sale$125,000-23.1%4/12/2007Sold$162,500+4.8%10/13/2005Sold$155,000+14.8%7/1/2004Sold$135,000--Report issue with price history"
"120 Croom Mills Dr, Hockessin, DE",https://www.zillow.com/homedetails/120-Croom-Mills-Dr-Hockessin-DE-19707/73012860_zpid/,video iconVideo Walkthrough,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$305,000","1,825",120 Croom Mills Dr,"Hockessin, DE 19707",19707,3,2,"1,825","3,920","5/8/2019Sold$305,000-1.6%Team Endrich3/13/2019Pending sale$309,900--3/7/2019Listed for sale$309,900+22%7/21/2016Sold$254,000-4.2%Team Endrich, Jennifer Idell7/6/2016Listing removed$265,000--6/14/2016Pending sale$265,000--6/3/2016Listed for sale$265,000+13.1%12/31/2002Sold$234,287+95.2%1/30/2002Sold$120,000--Report issue with price history"
"10 Charles Ct, Newark, DE",https://www.zillow.com/homedetails/10-Charles-Ct-Newark-DE-19702/73043836_zpid/,05/09/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$180,000","1,825",10 Charles Ct,"Newark, DE 19702",19702,2.5,3,"1,825","2,178","5/8/2019Sold$225,000--Angela Allen4/30/2019Listing removed$225,000--4/25/2019Price change$225,000-2.2%2/27/2019Price change$230,000-2.1%1/7/2019Listed for sale$235,000--2/8/2015Listing removed$1,350--2/6/2015Listed for rent$1,350--3/30/2005Sold$188,750--Report issue with price history"
