"","X.1","X","Address","Zip","Date","Event","Price","Beds","Baths","SqrFt","LotSize","Time","DaysOnMarket","RollTimeAv"
"1",14976,7062,"404 Preakness Run, Newark, DE",19702,2016-06-04,"Listed for sale",375000,4,3.5,2750,10454,1,94,86.8666666666667
"2",6848,14547,"508 Concord Bridge Pl, Newark, DE",19702,2016-06-04,"Listed for sale",152900,3,1.5,1575,2178,1,62,86.9333333333333
"3",1198,10803,"155 Madison Dr, Newark, DE",19711,2016-06-06,"Listed for sale",129900,4,2,1125,2613,3,52,79.6666666666667
"4",13296,1744,"5 Azalea Rd, Newark, DE",19711,2016-06-06,"Sold",253250,3,2,2150,8712,3,56,100.666666666667
"5",3349,20437,"5 Victoria Blvd, Newark, DE",19702,2016-06-06,"Listed for sale",169900,3,3,1300,1742,3,46,79
"6",12037,18049,"66 Danvers Cir, Newark, DE",19702,2016-06-06,"Listed for sale",272900,3,2.5,1950,6969,3,158,85.4666666666667
"7",1993,10548,"115 Coral Reef Dr, Newark, DE",19713,2016-06-07,"Listed for sale",175000,3,1.5,1225,8276,4,52,80.2
"8",6945,21714,"205 Barrett Run Pl, Newark, DE",19702,2016-06-07,"Listed for sale",199900,2,2.5,1575,1742,4,220,90.1333333333333
"9",9474,14685,"6 N Skyward Dr, Newark, DE",19713,2016-06-07,"Listed for sale",219900,4,2,1728,7405,4,86,91.9333333333333
"10",5281,15966,"15 Westwind Ct, Newark, DE",19713,2016-06-08,"Listed for sale",192000,3,1,1450,8276,5,82,92.8666666666667
"11",13108,6031,"17 Dalton Dr, Newark, DE",19702,2016-06-08,"Listed for sale",329900,3,2.5,2100,7840,5,72,90.6
"12",4941,11043,"207 Kingsley Dr, Newark, DE",19711,2016-06-08,"Listed for sale",2e+05,4,2,1425,9147,5,93,91.1333333333333
"13",193,11574,"405 Ilse Dr, Newark, DE",19713,2016-06-08,"Sold",115000,3,2,925,8276,5,26,95.7333333333333
"14",13031,575,"153 W Rutherford Dr, Newark, DE",19713,2016-06-09,"Sold",117800,4,2,2100,7405,6,105,94.8
"15",6662,21859,"227 Barrett Run Pl, Newark, DE",19702,2016-06-09,"Listed for sale",199900,3,2.5,1550,3484,6,56,91.6666666666667
"16",6906,17920,"6 Tarcote Ct, Newark, DE",19702,2016-06-09,"Listed for sale",185000,3,1.5,1575,7840,6,69,93
"17",8754,8309,"111 Maple Ave, Newark, DE",19711,2016-06-10,"Listed for sale",199000,2,1,1700,9147,7,48,83.4
"18",9235,10708,"14 Greenridge Rd, Newark, DE",19711,2016-06-10,"Listed for sale",209900,4,2,1725,7405,7,83,84.8666666666667
"19",11730,11295,"28 Cordele Rd, Newark, DE",19711,2016-06-10,"Listed for sale",259900,4,2.5,1925,7840,7,231,94
"20",11211,22550,"5 Cherry Ct, Newark, DE",19713,2016-06-10,"Listed for sale",279900,3,2.5,1850,6969,7,117,97.6666666666667
"21",10924,22812,"70 Highland Cir, Newark, DE",19713,2016-06-10,"Listed for sale",219900,3,2.5,1825,2178,7,137,103.333333333333
"22",12780,3019,"120 Fantasia Dr, Newark, DE",19713,2016-06-13,"Listed for sale",199999,4,2,2050,9147,10,65,104.6
"23",8532,10698,"135 Rockrose Dr, Newark, DE",19711,2016-06-13,"Listed for sale",234900,4,3,1675,6970,10,50,97.4
"24",712,17555,"49 Creekside Dr, Newark, DE",19702,2016-06-13,"Sold",164000,3,2,1050,8276,10,24,91.2666666666667
"25",13413,2115,"8 Sheffield Manor Dr, Newark, DE",19711,2016-06-13,"Listed for sale",279900,4,2,2175,8276,10,345,116.933333333333
"26",11902,12398,"1 Thanksgiving Way, Newark, DE",19702,2016-06-14,"Listed for sale",229900,3,1.5,1950,9147,11,310,122.933333333333
"27",3108,10514,"114 Garrett Rd, Newark, DE",19713,2016-06-14,"Listed for sale",205000,3,1.5,1300,8276,11,380,142.533333333333
"28",600,15777,"13 Flute Dr, Newark, DE",19713,2016-06-14,"Sold",102500,3,1.5,1025,9583,11,57,91.4666666666667
"29",12123,21688,"20 Deasy Dr, Newark, DE",19702,2016-06-14,"Sold",265000,3,2.5,1950,6969,11,73,91.1333333333333
"30",12454,6359,"23 Thomas Ln N, Newark, DE",19711,2016-06-14,"Listed for sale",275000,3,3,2000,2178,11,49,140.333333333333
"31",419,16974,"321 Barley Dr, Newark, DE",19702,2016-06-14,"Listed for sale",140000,2,1.5,975,1742,11,121,143.6
"32",2823,16286,"202 Cobble Creek Curv, Newark, DE",19702,2016-06-15,"Listed for sale",115000,2,2,1275,2613,12,285,156.4
"33",6677,22320,"34 W Kyla Marie Dr, Newark, DE",19702,2016-06-15,"Sold",185000,2,3,1550,2178,12,88,95.4666666666667
"34",11077,11489,"36 Thornhollow Rd, Newark, DE",19711,2016-06-15,"Sold",242250,4,2,1850,6969,12,40,83.5333333333333
"35",1469,10323,"109 Darwin Dr, Newark, DE",19711,2016-06-16,"Listed for sale",220000,3,2,1150,6969,13,76,157.733333333333
"36",6382,8433,"14 Davies Rd, Newark, DE",19713,2016-06-16,"Listed for sale",135000,3,1.5,1550,7405,13,243,169.333333333333
"37",12115,21500,"17 Deasy Dr, Newark, DE",19702,2016-06-16,"Listed for sale",285000,4,3.5,1950,6534,13,187,178.6
"38",8722,22470,"4 Maple Ave # B, Newark, DE",19711,2016-06-16,"Listed for sale",289900,3,2.5,1675,6534,13,67,177.533333333333
"39",12930,2046,"712 Susquehanna Cir, Newark, DE",19711,2016-06-16,"Listed for sale",235000,4,2,2075,8276,13,84,167.733333333333
"40",6651,20660,"8 Mandolin Ct, Newark, DE",19702,2016-06-16,"Listed for sale",159000,2,1.5,1550,2178,13,168,171.133333333333
"41",6390,10194,"1011 S Gerald Dr, Newark, DE",19713,2016-06-17,"Sold",2e+05,3,2,1550,7840,14,55,84.2
"42",7124,12985,"126 E Rutherford Dr, Newark, DE",19713,2016-06-17,"Sold",128537,3,2,1600,8276,14,51,76.4666666666667
"43",15079,3153,"14 Blue Fox Ct, Newark, DE",19711,2016-06-17,"Listed for sale",414900,4,3,2850,9583,14,342,184.8
"44",541,13825,"264 Oakfield Dr, Newark, DE",19713,2016-06-17,"Listed for sale",219999,3,1,1016,8276,14,171,191.866666666667
"45",8763,9154,"28 E Stephen Dr, Newark, DE",19713,2016-06-17,"Listed for sale",214985,4,2.5,1700,9583,14,53,192.066666666667
"46",3581,14175,"36 Gill Dr, Newark, DE",19713,2016-06-17,"Listed for sale",145000,3,1,1325,9147,14,105,176.066666666667
"47",7870,9359,"38 Mercer Dr, Newark, DE",19713,2016-06-17,"Sold",174900,4,1,1650,7840,14,48,70.4
"48",4118,20476,"513 Paisley Pl, Newark, DE",19711,2016-06-17,"Sold",245000,3,3,1350,3485,14,64,65.2
"49",8967,18563,"104 Monet Cir, Wilmington, DE",19808,2016-06-18,"Listed for sale",259900,2,3,1700,3049,15,123,163.6
"50",3011,8281,"11 Mackay Ln, Newark, DE",19713,2016-06-20,"Sold",207000,3,1.5,1300,7405,17,79,62.0666666666667
"51",10482,21319,"138 Couples Dr, Newark, DE",19702,2016-06-20,"Sold",2e+05,3,3,1800,2178,17,74,60.3333333333333
"52",14993,7276,"436 Welsh Hill Rd, Newark, DE",19702,2016-06-20,"Sold",388000,4,3,2750,10018,17,51,59.4
"53",7468,22776,"7 Ann Marie Ct, Newark, DE",19702,2016-06-20,"Sold",199900,3,2.5,1600,2178,17,74,60.6
"54",9179,22821,"71 Alexis Dr, Newark, DE",19702,2016-06-20,"Sold",185000,3,2.5,1700,2178,17,55,62.5333333333333
"55",3867,12700,"1110 Maplefield Rd, Newark, DE",19713,2016-06-21,"Listed for sale",224900,3,2,1350,8276,18,55,141.933333333333
"56",8287,20518,"5802 Old Capitol Trl, Wilmington, DE",19808,2016-06-21,"Listed for sale",265000,3,3,1650,9583,18,310,159.333333333333
"57",398,18092,"7 Goya Pl, Newark, DE",19702,2016-06-21,"Listed for sale",164900,2,1,950,6534,18,380,176.6
"58",6863,14856,"737 Manfield Rd, Newark, DE",19713,2016-06-21,"Listed for sale",230000,4,2,1575,7840,18,93,163.8
"59",9354,18751,"1114 Oakland Ct, Newark, DE",19711,2016-06-22,"Listed for sale",239900,2,2.5,1725,2613,19,176,170.466666666667
"60",8313,21494,"168 Versailles Ct, Newark, DE",19702,2016-06-22,"Listed for sale",194900,3,2.5,1650,2178,19,183,166.466666666667
"61",4189,9346,"36 Kollman Dr, Newark, DE",19713,2016-06-22,"Sold",175000,3,1,1375,7840,19,60,59.5333333333333
"62",6817,14337,"411 Monmouth Pl, Newark, DE",19702,2016-06-22,"Listed for sale",155000,3,2,1575,8276,19,167,165.133333333333
"63",12186,12534,"104 Autumn Horseshoe Bnd, Newark, DE",19702,2016-06-23,"Listed for sale",239900,4,2.5,1975,6969,20,39,163.266666666667
"64",13948,5716,"119 Devalinder Dr, Newark, DE",19702,2016-06-23,"Sold",355000,2,2,2275,9583,20,284,76.8666666666667
"65",1706,12903,"1205 Grayrock Rd, Newark, DE",19713,2016-06-23,"Listed for sale",209900,3,2,1180,7841,20,66,162.066666666667
"66",4839,22042,"244 Gladstone Way, Bear, DE",19701,2016-06-23,"Sold",164000,2,2,1400,3049,20,165,84.0666666666667
"67",5621,12066,"7 Davies Rd, Newark, DE",19713,2016-06-23,"Sold",205000,3,2,1475,9583,20,91,85.2666666666667
"68",5034,14784,"7 Newland Ct, Newark, DE",19713,2016-06-23,"Listed for sale",209900,3,2,1425,7405,20,124,159.133333333333
"69",15245,5988,"160 Galleon Dr, Newark, DE",19702,2016-06-24,"Listed for sale",405000,3,3,3050,8276,21,314,157.266666666667
"70",11932,13589,"214 Warfield Rd, Newark, DE",19713,2016-06-24,"Listed for sale",104900,5,2,1950,8712,21,35,148.2
"71",11858,22059,"25 Woodcrest Ct, Newark, DE",19702,2016-06-24,"Listed for sale",199900,3,3,1925,3049,21,89,150.6
"72",7939,11278,"260 S Dillwyn Rd, Newark, DE",19711,2016-06-24,"Sold",223500,3,1.5,1650,6969,21,99,86
"73",12687,7295,"439 Pierce Run, Newark, DE",19702,2016-06-24,"Sold",259900,3,2.5,2025,2614,21,106,90.4
"74",2021,12233,"8 Lavender Ln, Newark, DE",19713,2016-06-24,"Sold",185000,3,1,1225,7841,21,126,95.1333333333333
"75",14495,7395,"5 Glencoe Dr, Newark, DE",19702,2016-06-25,"Listed for sale",349900,4,3,2500,7841,22,111,151
"76",7022,9643,"55 Augusta Dr, Newark, DE",19713,2016-06-26,"Listed for sale",205900,4,1.5,1600,9583,23,64,147.066666666667
"77",5982,19036,"13 Farland Way, Newark, DE",19702,2016-06-27,"Sold",115000,3,2,1500,2613,24,291,111.133333333333
"78",732,19146,"14 Coolidge Ct, Newark, DE",19702,2016-06-27,"Sold",220000,3,1.5,1050,9147,24,234,123.533333333333
"79",5397,22017,"24 Woodcrest Ct, Newark, DE",19702,2016-06-27,"Listed for sale",189900,3,2.5,1450,2613,24,53,146.933333333333
"80",10213,14463,"47 Teal Cir, Newark, DE",19702,2016-06-27,"Listed for sale",109990,4,1.5,1800,3484,24,130,134.933333333333
"81",876,12355,"905 Greentree Rd, Newark, DE",19713,2016-06-27,"Sold",177000,3,1,1092,8276,24,104,126.2
"82",8975,18630,"108 Monet Cir, Wilmington, DE",19808,2016-06-28,"Sold",252500,3,3,1700,5227,25,76,126
"83",1695,20168,"331 Victoria Blvd, Newark, DE",19702,2016-06-28,"Sold",144900,2,1.5,1175,1742,25,277,139.533333333333
"84",10796,20171,"335 Nicholas Ct, Wilmington, DE",19808,2016-06-28,"Sold",259000,3,2.5,1825,6534,25,57,139.933333333333
"85",9331,17164,"39 Wellington Dr, Newark, DE",19702,2016-06-28,"Listed for sale",215000,3,2.5,1725,7840,25,73,114.466666666667
