"","ListingsToday","freq","High","Low"
"1","0",0.279197080291971,0.279197080291971,0
"2","1",0.219890510948905,0.499087591240876,0.279197080291971
"3","2",0.175182481751825,0.674270072992701,0.499087591240876
"4","3",0.132299270072993,0.806569343065694,0.674270072992701
"5","4",0.104014598540146,0.910583941605839,0.806569343065694
"6","5",0.0437956204379562,0.954379562043796,0.910583941605839
"7","6",0.020985401459854,0.97536496350365,0.954379562043796
"8","7",0.010036496350365,0.985401459854015,0.97536496350365
"9","8",0.0136861313868613,0.999087591240876,0.985401459854015
"10","9",0.000912408759124088,1,0.999087591240876
