Address,Title_link,SaleDate,Thumbnail,SalePrice,Sqft,Street,CityStateZip,Zip,Baths,Beds,Sqft2,LotSize,PriceHistory
"18 Keller Rd, Newark, DE",https://www.zillow.com/homedetails/18-Keller-Rd-Newark-DE-19713/72897831_zpid/,06/10/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.659477,-75.734532&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=XaHCJHcTwY1rUsaA8VyeJt9Ejqk=","$180,000","1,150",18 Keller Rd,"Newark, DE 19713",19713,1,3,"1,150","8,276","6/10/2019Sold$180,000--Eddie BarksdaleReport issue with price history"
"7 Withams Rd, Newark, DE",https://www.zillow.com/homedetails/7-Withams-Rd-Newark-DE-19711/73034531_zpid/,06/07/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.688610,-75.721391&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=8liq8kvXAJNDveM8Su0FAH4h3ts=","$274,900","1,550",7 Withams Rd,"Newark, DE 19711",19711,2.5,3,"1,550","7,840","6/7/2019Sold$274,900--Angela Allen3/22/2019Listing removed$274,900--3/14/2019Listed for sale$274,900+5.4%10/25/2005Sold$260,900--Report issue with price history"
"72 Martindale Dr, Newark, DE",https://www.zillow.com/homedetails/72-Martindale-Dr-Newark-DE-19713/72882710_zpid/,06/04/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.670381,-75.724605&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=4nQwMKvsPMaYSpb71P5E5pepjLw=","$176,900","1,125",72 Martindale Dr,"Newark, DE 19713",19713,1,3,"1,125","6,969","6/4/2019Sold$176,900-1.7%Pamela Cox5/25/2019Listing removed$179,900--4/23/2019Pending sale$179,900--3/5/2019Listed for sale$179,900--Report issue with price history"
"45 Arizona State Dr, Newark, DE",https://www.zillow.com/homedetails/45-Arizona-State-Dr-Newark-DE-19713/72899993_zpid/,06/03/2019,https://photos.zillowstatic.com/p_e/ISukr3ny5peg340000000000.jpg,"$415,000","3,125",45 Arizona State Dr,"Newark, DE 19713",19713,3,4,"3,125",,"6/3/2019Sold$415,000-1.4%Angela Allen6/3/2019Listing removed$421,000--3/21/2019Listed for sale$421,000--Report issue with price history"
"1008 White Birch Dr, Newark, DE",https://www.zillow.com/homedetails/1008-White-Birch-Dr-Newark-DE-19713/72900173_zpid/,06/03/2019,https://photos.zillowstatic.com/p_e/ISaxbsmr3eol8r1000000000.jpg,"$412,000","2,913",1008 White Birch Dr,"Newark, DE 19713",19713,2,3,"2,913",,"6/3/2019Sold$412,000-1.9%Deanna Murphy4/9/2019Pending sale$420,000--3/23/2019Listed for sale$420,000--Report issue with price history"
"48 Matthews Rd, Newark, DE",https://www.zillow.com/homedetails/48-Matthews-Rd-Newark-DE-19713/73038365_zpid/,05/31/2019,"https://maps.googleapis.com/maps/api/streetview?location=39.673391,-75.718651&size=600x328&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=OQ7zXlVaBdgd646J4ed6QGl-3gE=","$245,000","1,434",48 Matthews Rd,"Newark, DE 19713",19713,1.5,3,"1,434","8,276","5/31/2019Sold$245,000+0%Andrea Harrington4/30/2019Listing removed$244,900--4/29/2019Listed for sale$244,900+84.1%6/5/2018Sold$133,000+0.2%4/11/2018Listing removed$132,697-46.1%3/27/2018Listed for sale----1/10/2007Sold$246,000--Report issue with price history"
"947 Rahway Dr, Newark, DE",https://www.zillow.com/homedetails/947-Rahway-Dr-Newark-DE-19711/72931354_zpid/,05/31/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$308,897","3,000",947 Rahway Dr,"Newark, DE 19711",19711,2.5,4,"3,000","9,147","5/31/2019Sold$308,897+3%Laura Diaz Desi Rivera4/29/2019Listing removed$299,900--4/4/2019Price change$299,900-4.8%3/15/2019Listed for sale$314,900--Report issue with price history"
"18 Donaldson Dr, Newark, DE",https://www.zillow.com/homedetails/18-Donaldson-Dr-Newark-DE-19713/73036319_zpid/,05/31/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$225,000","1,920",18 Donaldson Dr,"Newark, DE 19713",19713,3,3,"1,920","7,840","5/31/2019Sold$225,000-2.1%Pamela Cox4/29/2019Pending sale$229,900--4/8/2019Listed for sale$229,900+109.2%3/29/1996Sold$109,900--Report issue with price history"
"143 Cypress Dr, Newark, DE",https://www.zillow.com/homedetails/143-Cypress-Dr-Newark-DE-19713/73039099_zpid/,05/31/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$189,900","1,400",143 Cypress Dr,"Newark, DE 19713",19713,2,2,"1,400","2,178","5/31/2019Sold$189,900--Richard Zernell4/25/2019Pending sale$189,900--4/12/2019Price change$189,900-2.6%3/19/2019Price change$195,000-2.5%3/4/2019Listed for sale$199,900+17.6%2/27/2015Sold$170,000-4.2%1/2/2015Listing removed$177,500--10/30/2014Price change$177,500+45.9%2/11/2000Sold$121,640--Report issue with price history"
"314 Chickory Way, Newark, DE",https://www.zillow.com/homedetails/314-Chickory-Way-Newark-DE-19711/72932145_zpid/,05/30/2019,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","$243,000",--,314 Chickory Way,"Newark, DE 19711",19711,3,3,,,"5/30/2019Sold$243,000+1.3%Travis Dorman, Kathy Melcher5/8/2019Pending sale$239,900--4/26/2019Listed for sale$239,900+38.7%5/4/2004Sold$173,010+21.8%11/6/2002Sold$142,000--Report issue with price history"
